iter	Passed	Remaining
524	48548	43924
525	48713	43898
526	48831	43828
527	49189	43972
528	49290	43886
529	49383	43793
530	49465	43689
531	49566	43603
532	49651	43503
533	49732	43399
534	49834	43314
535	49912	43207
536	49994	43105
537	50068	42995
538	50151	42894
539	50255	42810
540	50346	42715
541	50423	42608
542	50517	42516
543	50590	42406
544	50674	42306
545	50749	42198
546	50829	42094
547	50919	41998
548	51001	41897
549	51113	41820
550	51194	41717
551	51286	41624
552	51364	41519
553	51444	41415
554	51546	41329
555	51643	41240
556	51721	41135
557	51818	41045
558	51893	40939
559	51965	40829
560	52046	40727
561	52145	40639
562	52242	40550
563	52329	40453
564	52426	40363
565	52506	40261
566	52584	40157
567	52682	40068
568	52760	39964
569	52868	39883
570	52948	39781
571	53045	39691
572	53131	39593
573	53225	39502
574	53313	39405
575	53401	39309
576	53495	39217
577	53577	39116
578	53648	39008
579	53739	38914
580	53812	38807
581	53907	38716
582	53988	38616
583	54060	38508
584	54173	38430
585	54246	38324
586	54322	38220
587	54399	38116
588	54481	38016
589	54586	37932
590	54672	37836
591	54747	37731
592	54830	37632
593	54936	37549
594	55020	37450
595	55128	37369
596	55225	37279
597	55311	37182
598	55401	37088
599	55483	36989
600	55576	36896
601	55660	36798
602	55744	36700
603	55842	36612
604	55934	36519
605	56027	36427
606	56119	36334
607	56205	36237
608	56277	36132
609	56375	36043
610	56477	35957
611	56581	35872
612	56669	35776
613	56767	35687
614	56850	35589
615	56986	35524
616	57221	35520
617	57298	35417
618	57399	35329
619	57683	35354
620	57929	35354
621	58048	35276
622	58170	35201
623	58266	35109
624	58367	35020
625	58664	35048
626	58752	34951
627	58819	34842
628	58899	34740
629	58993	34646
630	59077	34547
631	59204	34473
632	59342	34405
633	59508	34353
634	59615	34267
635	59827	34240
636	60222	34318
637	60342	34238
638	60483	34169
639	60625	34102
640	60753	34025
641	60915	33968
642	60994	33864
643	61093	33772
644	61225	33697
645	61360	33624
646	61485	33546
647	61631	33478
648	61781	33413
649	61940	33352
650	62128	33306
651	62311	33258
652	62427	33173
653	62544	33089
654	62677	33013
655	62864	32965
656	63018	32900
657	63159	32827
658	63379	32795
659	63513	32718
660	63696	32667
661	64083	32719
662	64258	32662
663	64463	32620
664	64631	32558
665	64954	32574
666	65562	32732
667	65766	32686
668	65982	32645
669	66316	32663
670	66528	32619
671	66753	32582
672	66942	32526
673	67149	32479
674	67385	32444
675	67562	32381
676	67729	32313
677	67920	32257
678	68127	32207
679	68273	32128
680	68487	32081
681	68649	32009
682	68801	31932
683	68954	31856
684	69100	31776
685	69306	31723
686	69585	31703
687	69721	31618
688	69927	31563
689	70073	31482
690	70185	31385
691	70295	31287
692	70451	31210
693	70567	31114
694	70700	31026
695	70868	30954
696	71054	30888
697	71334	30863
698	71640	30849
699	71882	30806
700	72040	30727
701	72235	30664
702	72368	30573
703	72481	30474
704	72580	30370
705	72669	30261
706	72821	30179
707	72986	30101
708	73081	29995
709	73177	29889
710	73289	29790
711	73368	29677
712	73451	29565
713	73567	29468
714	73652	29358
715	73753	29253
716	73877	29159
717	74280	29174
718	74386	29071
719	74482	28965
720	74599	28867
721	74704	28764
722	74814	28663
723	75170	28656
724	75267	28549
725	75351	28438
726	75448	28332
727	75527	28218
728	75603	28105
729	75666	27986
730	75725	27866
731	75797	27750
732	75853	27630
733	75931	27517
734	76028	27411
735	76123	27304
736	76203	27193
737	76277	27079
738	76362	26969
739	76438	26856
740	76512	26743
741	76592	26631
742	76673	26521
743	76744	26406
744	76816	26293
745	76906	26185
746	76985	26073
747	77053	25959
748	77130	25847
749	77225	25741
750	77324	25637
751	77398	25524
752	77468	25411
753	77552	25302
754	77645	25196
755	77714	25082
756	77800	24974
757	77877	24863
758	77934	24746
759	78017	24637
760	78089	24524
761	78171	24415
762	78238	24302
763	78322	24193
764	78388	24080
765	78460	23968
766	78550	23862
767	78623	23750
768	78698	23640
769	78783	23532
770	78853	23420
771	78923	23308
772	79008	23201
773	79088	23092
774	79210	22996
775	79332	22900
776	79423	22794
777	79525	22692
778	79630	22590
779	79743	22491
780	79824	22383
781	79899	22273
782	79981	22165
783	80072	22060
784	80152	21952
785	80257	21851
786	80348	21746
787	80424	21637
788	80517	21532
789	80592	21423
790	80682	21318
791	80770	21212
792	80855	21106
793	80936	20998
794	81010	20889
795	81085	20780
796	81179	20676
797	81268	20571
798	81367	20469
799	81450	20362
800	81536	20256
801	81640	20155
802	81713	20046
803	81826	19947
804	81909	19841
805	82001	19737
806	82102	19635
807	82217	19536
808	82316	19434
809	82403	19329
810	82490	19224
811	82581	19119
812	82677	19016
813	82762	18911
814	82855	18807
815	82959	18706
816	83050	18602
817	83182	18507
818	83282	18405
819	83674	18367
820	83788	18268
821	83901	18168
822	84016	18069
823	84125	17968
824	84232	17867
825	84520	17804
826	84650	17708
827	84728	17600
828	84860	17504
829	84946	17398
830	85021	17290
831	85144	17192
832	85243	17089
833	85454	17009
834	85698	16934
835	85891	16849
836	86189	16784
837	86355	16693
838	86460	16591
839	86563	16488
840	86677	16387
841	86795	16287
842	86877	16180
843	86964	16074
844	87064	15970
845	87206	15874
846	87330	15775
847	87410	15667
848	87521	15566
849	87644	15466
850	87742	15362
851	87842	15258
852	87934	15154
853	88038	15051
854	88137	14947
855	88213	14839
856	88293	14732
857	88375	14626
858	88454	14519
859	88541	14413
860	88643	14310
861	88742	14207
862	88840	14103
863	88937	13999
864	89023	13893
865	89119	13789
866	89207	13684
867	89290	13578
868	89401	13477
869	89473	13369
870	89551	13263
871	89627	13156
872	89695	13048
873	89775	12942
874	89837	12833
875	89922	12728
876	89987	12620
877	90072	12515
878	90163	12411
879	90251	12306
880	90331	12201
881	90407	12095
882	90483	11989
883	90563	11883
884	90638	11777
885	90715	11672
886	90774	11564
887	90861	11460
888	90927	11353
889	91002	11247
890	91083	11142
891	91161	11037
892	91246	10933
893	91336	10829
894	91428	10726
895	91524	10623
896	91607	10519
897	91693	10415
898	91776	10310
899	91841	10204
900	91919	10099
901	91992	9994
902	92075	9890
903	92209	9792
904	92297	9688
905	92391	9585
906	92472	9481
907	92563	9378
908	92654	9275
909	92743	9172
910	92826	9068
911	92888	8962
912	92971	8859
913	93209	8770
914	93533	8688
915	93878	8608
916	94095	8516
917	94500	8441
918	95204	8391
919	95623	8315
920	96105	8243
921	96412	8156
922	96658	8063
923	97084	7985
924	97274	7887
925	97467	7788
926	97710	7694
927	97974	7601
928	98271	7510
929	98436	7409
930	98595	7307
931	98786	7207
932	99090	7115
933	99261	7014
934	99519	6918
935	99754	6820
936	99962	6721
937	100138	6618
938	100324	6517
939	100507	6415
940	100641	6310
941	100825	6207
942	101035	6107
943	101220	6004
944	101391	5901
945	101554	5796
946	101782	5696
947	101971	5593
948	102135	5488
949	102291	5383
950	102459	5279
951	102635	5174
952	102869	5073
953	103020	4967
954	103170	4861
955	103375	4757
956	103539	4652
957	103696	4546
958	103841	4439
959	104050	4335
960	104231	4229
961	104422	4124
962	104672	4021
963	104875	3916
964	105047	3810
965	105198	3702
966	105404	3597
967	105598	3490
968	105730	3382
969	105841	3273
970	105989	3165
971	106118	3056
972	106266	2948
973	106430	2841
974	106549	2732
975	106671	2623
976	106850	2515
977	107000	2406
978	107349	2302
979	107468	2193
980	107658	2085
981	107888	1977
982	107998	1867
983	108103	1757
984	108212	1647
985	108301	1537
986	108435	1428
987	108515	1317
988	108597	1207
989	108715	1098
990	108789	987
991	108874	878
992	108965	768
993	109053	658
994	109140	548
995	109221	438
996	109322	328
997	109420	219
998	109492	109
999	109567	0
